run,accuracy,mde
1,74.80916030534351,1.123139624589424
2,73.79134860050891,1.1288165803494932
3,75.21628498727735,1.1004907293073558
4,76.08142493638677,1.049108663326025
5,72.7735368956743,1.2009003125204096
