run,epochs,total_time_sec,avg_epoch_time_sec
1,100,186.4228925704956,1.864228925704956
2,92,174.49979758262634,1.8967369302459385
3,109,209.9012041091919,1.9256991202678155
4,142,269.0151035785675,1.8944725604124473
5,154,291.04033184051514,1.8898722846786697
