run,accuracy,mde,wrong_errors
1,99.59183673469387,0.010414392467881107,"[np.float64(2.1633307652783933), np.float64(3.2310988842807027), np.float64(3.2310988842807027), np.float64(3.0), np.float64(2.1633307652783933), np.float64(1.2000000000000002), np.float64(0.6000000000000001), np.float64(3.0), np.float64(1.7999999999999998), np.float64(5.126402247190518)]"
2,99.51020408163266,0.01307380473324863,"[np.float64(3.7947331922020555), np.float64(0.6000000000000001), np.float64(3.2310988842807027), np.float64(0.5999999999999996), np.float64(4.242640687119285), np.float64(5.366563145999495), np.float64(1.2), np.float64(3.0594117081556713), np.float64(1.3416407864998738), np.float64(3.5999999999999996), np.float64(3.794733192202055), np.float64(1.2000000000000002)]"
3,99.79591836734694,0.005434474067894987,"[np.float64(1.3416407864998738), np.float64(1.8), np.float64(6.37808748764079), np.float64(1.8973665961010275), np.float64(1.8973665961010275)]"
4,99.55102040816325,0.01120023967125337,"[np.float64(1.3416407864998738), np.float64(2.1633307652783933), np.float64(3.49857113690718), np.float64(4.8373546489791295), np.float64(5.366563145999495), np.float64(2.1633307652783933), np.float64(1.3416407864998738), np.float64(0.8485281374238566), np.float64(0.8485281374238571), np.float64(3.2310988842807027), np.float64(1.8)]"
5,99.59183673469387,0.013608129324713007,"[np.float64(3.7947331922020555), np.float64(2.1633307652783933), np.float64(4.2), np.float64(3.49857113690718), np.float64(3.2310988842807022), np.float64(3.0), np.float64(5.366563145999495), np.float64(2.1633307652783933), np.float64(4.024922359499622), np.float64(1.8973665961010275)]"
