run,accuracy,mde,wrong_errors
1,99.59183673469387,0.01386562254459835,"[np.float64(0.5999999999999996), np.float64(1.2), np.float64(1.2000000000000002), np.float64(5.366563145999495), np.float64(3.394112549695428), np.float64(2.4738633753705965), np.float64(4.368065933568311), np.float64(3.49857113690718), np.float64(6.708203932499369), np.float64(5.1613951602255765)]"
2,99.67346938775509,0.009998734921620595,"[np.float64(3.059411708155671), np.float64(0.8485281374238568), np.float64(3.059411708155671), np.float64(1.3416407864998738), np.float64(3.49857113690718), np.float64(3.6), np.float64(6.029925372672534), np.float64(3.059411708155671)]"
3,99.63265306122449,0.012867285596679512,"[np.float64(2.4000000000000004), np.float64(1.2000000000000002), np.float64(5.366563145999495), np.float64(5.692099788303083), np.float64(1.7999999999999998), np.float64(3.49857113690718), np.float64(1.8000000000000003), np.float64(6.708203932499369), np.float64(3.059411708155671)]"
4,99.59183673469387,0.015571944797934802,"[np.float64(3.2310988842807027), np.float64(1.2000000000000002), np.float64(4.242640687119285), np.float64(3.8418745424597094), np.float64(6.0), np.float64(3.49857113690718), np.float64(4.5694638635183455), np.float64(6.708203932499369), np.float64(3.059411708155671), np.float64(1.7999999999999998)]"
5,99.59183673469387,0.014526822500744297,"[np.float64(3.059411708155671), np.float64(1.2000000000000002), np.float64(6.26418390534633), np.float64(3.6), np.float64(2.4738633753705965), np.float64(3.0), np.float64(6.029925372672534), np.float64(2.1633307652783933), np.float64(6.0), np.float64(1.7999999999999998)]"
