timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label_numeric,label_coor,coordinate
493454989,-60.0,-68.0,-61.0,-60.0,,,
493455103,-60.0,-68.0,-61.0,-61.0,,,
493454150,-61.0,-69.0,-63.0,-61.0,,,
493448984,-56.0,-69.0,-63.0,-51.0,,,
493449248,-61.0,-69.0,-64.0,-55.0,,,
493455190,-52.0,-69.0,-63.0,-59.0,,,
493449832,-55.0,-70.0,-62.0,-59.0,,,
493455032,-62.0,-69.0,-61.0,-60.0,,,
493452774,-61.0,-68.0,-62.0,-59.0,,,
493451460,-61.0,-69.0,-63.0,-60.0,,,
493449873,-61.0,-70.0,-62.0,-59.0,,,
493450552,-61.0,-70.0,-61.0,-58.0,,,
493453091,-61.0,-70.0,-60.0,-60.0,,,
493452164,-62.0,-69.0,-60.0,-58.0,,,
493449390,-61.0,-70.0,-63.0,-55.0,,,
493451753,-61.0,-69.0,-62.0,-60.0,,,
493451740,-61.0,-68.0,-63.0,-60.0,,,
493449350,-60.0,-70.0,-63.0,-60.0,,,
493449094,-62.0,-70.0,-63.0,-60.0,,,
493454886,-62.0,-70.0,-61.0,-60.0,,,
493450522,-61.0,-70.0,-62.0,-59.0,,,
493452299,-62.0,-69.0,-62.0,-59.0,,,
493455047,-61.0,-70.0,-61.0,-55.0,,,
493450667,-61.0,-69.0,-62.0,-59.0,,,
493450610,-61.0,-70.0,-63.0,-60.0,,,
493452438,-61.0,-69.0,-58.0,-60.0,,,
493451095,-61.0,-70.0,-64.0,-60.0,,,
493455018,-61.0,-69.0,-61.0,-61.0,,,
493454581,-61.0,-69.0,-62.0,-52.0,,,
493453932,-56.0,-70.0,-65.0,-59.0,,,
493451225,-62.0,-70.0,-63.0,-61.0,,,
493451446,-61.0,-69.0,-63.0,-60.0,,,
493452226,-61.0,-69.0,-63.0,-60.0,,,
493454770,-61.0,-70.0,-61.0,-60.0,,,
493450992,-61.0,-70.0,-65.0,-54.0,,,
493453729,-61.0,-69.0,-60.0,-59.0,,,
493453409,-61.0,-70.0,-60.0,-60.0,,,
493451417,-61.0,-70.0,-60.0,-60.0,,,
493452359,-61.0,,-62.0,-60.0,,,
493450537,-61.0,-70.0,-60.0,-56.0,,,
493451870,-62.0,-69.0,-64.0,-58.0,,,
493451051,-61.0,-70.0,-63.0,-60.0,,,
493453554,-60.0,-69.0,-60.0,-60.0,,,
493451152,-60.0,-69.0,-63.0,-55.0,,,
493453743,-61.0,-69.0,-60.0,-59.0,,,
493453005,-61.0,-69.0,-59.0,-60.0,,,
493450158,-61.0,-70.0,-63.0,-58.0,,,
493454324,-61.0,-70.0,-61.0,-60.0,,,
493451325,-61.0,-70.0,-61.0,-52.0,,,
493453685,-61.0,-70.0,-60.0,-60.0,,,
493454092,-62.0,-69.0,-57.0,-55.0,,,
493450027,-61.0,-70.0,-62.0,-59.0,,,
493452255,-61.0,-69.0,-62.0,-59.0,,,
493454902,-62.0,-69.0,-61.0,-55.0,,,
493453482,-61.0,-69.0,-60.0,-61.0,,,
493450680,-61.0,-70.0,-62.0,-59.0,,,
