run,accuracy,mde,mde_std
1,95.9476054031928,0.17520908728830403,0.9354010520451265
2,96.02947196070404,0.16529130792363508,0.8901089881045979
3,96.23413835448218,0.16101340551454993,0.8855007189130267
4,96.07040523945967,0.16019906674937626,0.8772896435109003
5,96.31600491199345,0.15087597984569984,0.8517802069674373
