run,accuracy,mde,wrong_errors
1,99.71428571428571,0.008574132864976625,"[np.float64(1.2000000000000002), np.float64(2.6832815729997477), np.float64(6.0), np.float64(2.4738633753705965), np.float64(1.8000000000000003), np.float64(4.686149805543993), np.float64(2.1633307652783933)]"
2,99.63265306122449,0.015438342546904588,"[np.float64(6.26418390534633), np.float64(1.2000000000000002), np.float64(6.708203932499369), np.float64(6.0), np.float64(1.8973665961010273), np.float64(3.49857113690718), np.float64(3.0), np.float64(4.686149805543993), np.float64(4.5694638635183455)]"
3,99.67346938775509,0.011712768986962285,"[np.float64(6.26418390534633), np.float64(1.2000000000000002), np.float64(5.366563145999495), np.float64(0.8485281374238568), np.float64(0.6000000000000001), np.float64(5.1613951602255765), np.float64(4.686149805543993), np.float64(4.5694638635183455)]"
4,99.67346938775509,0.011892398421085245,"[np.float64(3.2310988842807027), np.float64(1.2000000000000002), np.float64(4.242640687119286), np.float64(6.177378084592201), np.float64(0.6000000000000001), np.float64(5.939696961966999), np.float64(4.686149805543993), np.float64(3.059411708155671)]"
5,99.67346938775509,0.011404425150453746,"[np.float64(3.2310988842807027), np.float64(1.2000000000000002), np.float64(6.4621977685614045), np.float64(4.2), np.float64(0.6000000000000001), np.float64(2.4000000000000004), np.float64(4.686149805543993), np.float64(5.1613951602255765)]"
