run,accuracy,mde,wrong_errors
1,99.71428571428571,0.010225505812086928,"[np.float64(1.3416407864998738), np.float64(3.4985711369071804), np.float64(5.366563145999495), np.float64(1.8), np.float64(6.4621977685614045), np.float64(4.686149805543993), np.float64(1.8973665961010275)]"
2,99.42857142857143,0.011093080045902502,"[np.float64(3.0), np.float64(3.0), np.float64(0.5999999999999996), np.float64(0.5999999999999996), np.float64(3.5999999999999996), np.float64(1.2000000000000002), np.float64(1.3416407864998738), np.float64(0.5999999999999996), np.float64(3.2310988842807022), np.float64(2.4000000000000004), np.float64(3.059411708155671), np.float64(1.8973665961010278), np.float64(1.7999999999999998), np.float64(0.8485281374238566)]"
3,99.75510204081633,0.00821376851862781,"[np.float64(5.692099788303083), np.float64(1.3416407864998738), np.float64(0.6000000000000001), np.float64(4.326661530556787), np.float64(2.1633307652783933), np.float64(6.0)]"
4,99.55102040816325,0.01583664931617322,"[np.float64(5.531726674375733), np.float64(3.5999999999999996), np.float64(1.2), np.float64(6.4621977685614045), np.float64(6.4621977685614045), np.float64(3.0), np.float64(6.0), np.float64(2.1633307652783933), np.float64(2.6832815729997477), np.float64(0.8485281374238566), np.float64(0.8485281374238566)]"
5,99.59183673469387,0.012069014407201992,"[np.float64(0.6000000000000001), np.float64(3.2310988842807027), np.float64(1.8973665961010275), np.float64(5.366563145999495), np.float64(0.6000000000000001), np.float64(6.4621977685614045), np.float64(2.4000000000000004), np.float64(6.0), np.float64(2.1633307652783933), np.float64(0.8485281374238566)]"
