Label,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi
11,-60.0,-70.0,-64.0,-60.0
11,-61.0,-70.0,-64.0,-60.0
11,-57.0,-70.0,-61.0,-61.0
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-60.0,-60.0
11,-61.0,-69.0,-61.0,-56.0
11,-53.0,-70.0,-62.0,-59.0
11,-61.0,-69.0,-60.0,-59.0
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-63.0,-61.0
11,-62.0,-69.0,-62.0,-59.0
11,-62.0,-69.0,-61.0,-60.0
11,-62.0,-69.0,-61.0,-59.0
11,-62.0,-69.0,-62.0,-60.0
11,-61.0,-69.0,-61.0,-61.0
11,-61.0,-69.0,-62.0,-59.0
11,-56.0,-69.0,-62.0,-59.0
11,-62.0,-69.0,-62.0,-59.0
11,-61.0,-69.0,-66.0,-61.0
11,-62.0,-69.0,-60.0,-60.0
11,-56.0,-70.0,-60.0,-60.0
11,-60.0,-68.0,-61.0,-60.0
11,-62.0,-69.0,-62.0,-58.0
11,-61.0,-69.0,-61.0,-61.0
11,-61.0,-68.0,-61.0,-55.0
11,-61.0,-70.0,-61.0,-58.0
11,-61.0,-70.0,-64.0,-58.0
11,-61.0,-69.0,-62.0,-60.0
11,-62.0,-70.0,-64.0,-60.0
11,-56.0,-70.0,-61.0,-60.0
11,-61.0,-70.0,-61.0,-59.0
11,-62.0,-70.0,-62.0,-60.0
11,-61.0,-70.0,-64.0,-60.0
11,-60.0,-69.0,-60.0,-60.0
11,-61.0,-69.0,-61.0,-59.0
11,-61.0,-70.0,-62.0,-59.0
11,-50.0,-70.0,-61.0,-59.0
11,-65.0,-69.0,-62.0,-56.0
11,-55.0,-70.0,-61.0,-60.0
11,-61.0,-69.0,-62.0,-60.0
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-69.0,-64.0,-55.0
11,-61.0,-70.0,-62.0,-60.0
11,-61.0,-69.0,-62.0,-60.0
11,-60.0,-68.0,-62.0,-60.0
11,-55.0,-70.0,-62.0,-59.0
11,-61.0,-69.0,-62.0,-59.0
11,-61.0,,-61.0,-54.0
11,-61.0,-70.0,-59.0,-58.0
11,-61.0,-70.0,-64.0,-60.0
11,-53.0,-69.0,,-59.0
11,,,-61.0,-61.0
11,-62.0,-70.0,-62.0,-60.0
11,-61.0,-70.0,-62.0,-54.0
11,-61.0,-70.0,-61.0,-60.0
11,-61.0,-70.0,-63.0,-59.0
11,-60.0,-70.0,-61.0,-61.0
11,-61.0,-70.0,-63.0,-56.0
11,-61.0,-69.0,-62.0,-55.0
11,-61.0,-69.0,-60.0,-60.0
11,-55.0,-70.0,-62.0,-59.0
11,-61.0,-69.0,-62.0,-60.0
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-63.0,-55.0
11,-61.0,-70.0,-63.0,-55.0
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-62.0,-59.0
11,-61.0,-70.0,-63.0,-60.0
11,-62.0,-69.0,-62.0,-58.0
11,-62.0,-69.0,-62.0,-60.0
11,-61.0,-70.0,-57.0,-59.0
11,-60.0,-68.0,-62.0,-56.0
11,-61.0,-69.0,-61.0,-61.0
11,-56.0,-69.0,-63.0,-61.0
11,-61.0,-70.0,-62.0,-60.0
11,-62.0,-69.0,-62.0,-60.0
11,-62.0,-69.0,-63.0,-60.0
11,-61.0,-70.0,-61.0,-60.0
11,-60.0,-70.0,-62.0,-59.0
11,-61.0,-70.0,-63.0,-60.0
11,-62.0,-69.0,-62.0,-58.0
11,-61.0,-69.0,-60.0,-61.0
11,-60.0,-70.0,-62.0,-58.0
11,-61.0,-69.0,-60.0,-61.0
11,-60.0,-69.0,-64.0,-60.0
11,-60.0,-69.0,-60.0,-60.0
11,-61.0,-69.0,-61.0,-56.0
11,-61.0,-70.0,-61.0,
11,-61.0,-70.0,-60.0,-60.0
11,-61.0,-70.0,-63.0,-59.0
11,-61.0,-70.0,-65.0,-61.0
11,-61.0,-70.0,-62.0,-59.0
11,-60.0,-69.0,-60.0,-59.0
11,-61.0,-70.0,-61.0,-60.0
11,-61.0,-70.0,-62.0,-61.0
11,-61.0,-69.0,-62.0,-59.0
11,-61.0,-70.0,-65.0,-61.0
11,-61.0,-69.0,-62.0,-60.0
11,-62.0,-70.0,-62.0,-59.0
11,-61.0,-70.0,-62.0,-60.0
11,-61.0,-69.0,-62.0,-60.0
11,-62.0,-70.0,-63.0,-61.0
11,-65.0,-69.0,-62.0,-56.0
11,-56.0,-70.0,-61.0,-60.0
11,-60.0,-70.0,-63.0,-59.0
11,-61.0,-70.0,-65.0,-54.0
11,-62.0,-69.0,-63.0,-55.0
11,-62.0,-70.0,-59.0,-59.0
11,-61.0,-70.0,-63.0,-55.0
11,-62.0,-69.0,-63.0,-61.0
11,-61.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-60.0,-60.0
11,-60.0,-70.0,-60.0,-60.0
11,-62.0,-70.0,-65.0,-58.0
11,-62.0,-70.0,-63.0,-60.0
11,-61.0,-70.0,-62.0,-60.0
11,-52.0,-70.0,-62.0,-59.0
11,-61.0,-70.0,-61.0,
11,-56.0,-70.0,-60.0,-60.0
11,,-70.0,-62.0,-61.0
11,-61.0,-70.0,-64.0,-60.0
11,-61.0,-70.0,-60.0,-59.0
11,-61.0,-70.0,-61.0,-59.0
11,-61.0,-69.0,-59.0,-58.0
11,-62.0,-70.0,-62.0,-57.0
11,-62.0,-69.0,-64.0,-60.0
11,-62.0,-70.0,-62.0,-60.0
11,-61.0,-70.0,-62.0,-61.0
11,-62.0,-69.0,-60.0,-60.0
11,-56.0,-70.0,-61.0,-60.0
11,-61.0,-69.0,-62.0,-59.0
11,-53.0,-69.0,,-59.0
11,-61.0,-69.0,-61.0,-55.0
11,-61.0,-69.0,-62.0,-60.0
11,-60.0,-70.0,-62.0,-58.0
11,-61.0,-69.0,-63.0,-60.0
11,-62.0,-69.0,-63.0,-60.0
11,-61.0,-70.0,-60.0,-60.0
11,-52.0,-70.0,-63.0,-59.0
11,-61.0,-69.0,-61.0,-61.0
11,-62.0,-70.0,-62.0,-60.0
11,-61.0,-69.0,-60.0,-59.0
11,-61.0,-70.0,-61.0,-60.0
11,-61.0,-70.0,-62.0,-59.0
11,-62.0,-69.0,-63.0,-60.0
11,-61.0,-69.0,-62.0,-60.0
11,-61.0,-70.0,-61.0,-55.0
11,-61.0,-69.0,-61.0,-60.0
11,-60.0,-69.0,-60.0,-60.0
11,-61.0,-69.0,-63.0,-60.0
11,-61.0,-69.0,-62.0,-59.0
10,-62.0,-73.0,-55.0,-65.0
10,-63.0,-73.0,-55.0,-67.0
10,-63.0,-73.0,-54.0,-65.0
10,-52.0,-72.0,-55.0,-60.0
10,-62.0,-73.0,-55.0,-65.0
10,-62.0,-72.0,-55.0,-61.0
10,-63.0,-72.0,-55.0,-64.0
10,-63.0,-72.0,-55.0,-66.0
10,-62.0,-72.0,-55.0,-66.0
10,-63.0,-72.0,-53.0,-58.0
10,-62.0,-72.0,-55.0,-66.0
10,-64.0,-74.0,-53.0,-64.0
10,-57.0,-72.0,-55.0,-66.0
10,-58.0,-73.0,-55.0,-67.0
10,-57.0,-73.0,-55.0,-64.0
10,-63.0,-72.0,-53.0,-64.0
10,-62.0,-73.0,-55.0,-65.0
10,-63.0,-72.0,-55.0,-65.0
10,-62.0,-73.0,-52.0,-65.0
10,-58.0,-81.0,-54.0,-62.0
10,-64.0,-73.0,-55.0,-66.0
10,-62.0,-72.0,-55.0,-66.0
10,-59.0,-73.0,-53.0,-67.0
10,-63.0,-73.0,-54.0,-68.0
10,-62.0,-73.0,-54.0,-64.0
10,-63.0,-72.0,-55.0,-66.0
10,-63.0,-73.0,-56.0,-66.0
10,-64.0,-73.0,-55.0,-64.0
10,-62.0,-73.0,-55.0,-59.0
10,-64.0,-79.0,-54.0,-63.0
10,-65.0,-74.0,-53.0,-68.0
10,-62.0,-72.0,-54.0,-63.0
10,-62.0,-76.0,-51.0,-63.0
10,-64.0,-73.0,-55.0,-65.0
10,-64.0,-73.0,-55.0,-65.0
10,-63.0,-72.0,-55.0,-67.0
10,-63.0,-72.0,-54.0,-65.0
10,-62.0,-72.0,-55.0,-65.0
10,-63.0,-73.0,-51.0,-66.0
10,-63.0,-72.0,-55.0,-66.0
10,-63.0,-72.0,-55.0,-63.0
10,,,-55.0,-65.0
10,-62.0,-73.0,-52.0,-64.0
10,-63.0,-72.0,-53.0,-62.0
10,-62.0,-72.0,-52.0,-65.0
10,-63.0,-72.0,-55.0,-59.0
10,-55.0,-73.0,-56.0,-66.0
10,-62.0,-72.0,-55.0,-66.0
10,-63.0,-72.0,-55.0,-63.0
10,-61.0,-73.0,-55.0,-66.0
10,-63.0,-73.0,-55.0,-65.0
10,-63.0,-74.0,-55.0,-65.0
10,-57.0,-72.0,-54.0,-64.0
10,-64.0,-72.0,-55.0,
10,-64.0,-74.0,-54.0,-68.0
10,-62.0,-73.0,-55.0,-65.0
10,-57.0,-72.0,-55.0,-66.0
10,-63.0,-72.0,-55.0,-65.0
10,-63.0,-73.0,-55.0,-66.0
10,-62.0,-74.0,-56.0,-66.0
10,-63.0,-72.0,-55.0,-64.0
10,-62.0,-74.0,-56.0,-65.0
10,-62.0,-73.0,-55.0,-65.0
10,-63.0,-73.0,-55.0,-66.0
10,-54.0,-73.0,-55.0,-61.0
10,-55.0,-72.0,-55.0,-68.0
10,-64.0,-73.0,-55.0,-66.0
10,-63.0,-72.0,-55.0,-66.0
10,-64.0,-73.0,-56.0,-65.0
10,-62.0,-73.0,-55.0,-64.0
10,-63.0,-72.0,-55.0,-60.0
10,-63.0,-72.0,-55.0,-65.0
10,-63.0,-73.0,-55.0,-65.0
10,-63.0,-74.0,-55.0,-65.0
10,-63.0,-72.0,,
10,-63.0,-73.0,-55.0,-68.0
10,-62.0,-73.0,-55.0,-65.0
10,-63.0,-73.0,-55.0,-65.0
10,-62.0,-71.0,-55.0,-65.0
10,-64.0,-73.0,-56.0,-69.0
10,-62.0,-72.0,-55.0,-65.0
10,-61.0,-72.0,-55.0,-63.0
10,-61.0,-71.0,-55.0,-65.0
10,-64.0,-73.0,-55.0,-66.0
10,,,-55.0,-66.0
10,-63.0,-72.0,-55.0,-67.0
10,-63.0,-73.0,-56.0,-63.0
10,-63.0,-72.0,-55.0,-67.0
10,-64.0,-74.0,-55.0,-66.0
10,-63.0,-74.0,-55.0,-64.0
10,-63.0,-72.0,-55.0,-64.0
10,-62.0,-73.0,-55.0,-60.0
10,-59.0,-76.0,-54.0,-67.0
10,-63.0,-73.0,-55.0,-64.0
10,-62.0,-73.0,-54.0,-63.0
10,-62.0,-72.0,-55.0,-65.0
10,-64.0,-73.0,-56.0,-67.0
10,-62.0,-73.0,-54.0,-69.0
10,-63.0,-73.0,-56.0,-67.0
10,-62.0,-73.0,-55.0,-65.0
10,-56.0,-72.0,-55.0,-67.0
10,-62.0,-74.0,-55.0,-66.0
10,-63.0,-73.0,-55.0,-63.0
10,-63.0,-72.0,-55.0,-64.0
10,-63.0,-73.0,-55.0,-65.0
10,-63.0,-72.0,-54.0,-63.0
10,-64.0,-73.0,-52.0,-66.0
10,-63.0,-74.0,-54.0,-61.0
10,-63.0,-73.0,-55.0,-65.0
10,-61.0,-73.0,-55.0,-65.0
10,-62.0,-73.0,-55.0,-63.0
10,-61.0,-73.0,-55.0,-66.0
10,-62.0,-73.0,-54.0,-63.0
10,-63.0,-74.0,-56.0,-61.0
10,-63.0,-72.0,-55.0,-65.0
10,-60.0,-81.0,-54.0,-62.0
10,-64.0,-74.0,-56.0,-63.0
10,-62.0,-73.0,-55.0,-65.0
10,-57.0,-73.0,-55.0,-65.0
10,-63.0,-72.0,-55.0,-65.0
10,-62.0,-72.0,-55.0,-60.0
10,-62.0,-74.0,-56.0,-69.0
10,-64.0,-72.0,-55.0,-63.0
10,-63.0,-73.0,-56.0,-68.0
10,-63.0,-72.0,-55.0,-64.0
10,-60.0,-80.0,-54.0,-63.0
10,-62.0,-73.0,-56.0,-69.0
10,-62.0,-72.0,-55.0,-65.0
10,-64.0,-73.0,-54.0,-65.0
10,-63.0,-73.0,-55.0,-64.0
10,-63.0,-72.0,-55.0,-67.0
10,-64.0,-73.0,-55.0,-66.0
10,-62.0,-74.0,-55.0,-62.0
10,-63.0,-73.0,-55.0,-65.0
