run,accuracy,mde,wrong_errors
1,99.59183673469387,0.01540907997229928,"[np.float64(2.4000000000000004), np.float64(5.43323108288245), np.float64(0.5999999999999996), np.float64(6.708203932499369), np.float64(0.8485281374238568), np.float64(3.49857113690718), np.float64(3.0), np.float64(6.708203932499369), np.float64(5.1613951602255765), np.float64(3.394112549695428)]"
2,99.63265306122449,0.011659571336924609,"[np.float64(3.6), np.float64(1.2000000000000002), np.float64(5.909314681077663), np.float64(3.7947331922020555), np.float64(3.6), np.float64(3.49857113690718), np.float64(3.6), np.float64(1.2000000000000002), np.float64(2.1633307652783933)]"
3,99.59183673469387,0.012819567423475878,"[np.float64(1.3416407864998738), np.float64(3.059411708155671), np.float64(4.686149805543993), np.float64(3.0000000000000004), np.float64(3.49857113690718), np.float64(1.2000000000000002), np.float64(3.49857113690718), np.float64(1.8000000000000003), np.float64(6.26418390534633), np.float64(3.059411708155671)]"
4,99.59183673469387,0.01569251367212404,"[np.float64(3.059411708155671), np.float64(7.323933369440222), np.float64(3.059411708155671), np.float64(3.394112549695428), np.float64(3.6), np.float64(2.4738633753705965), np.float64(1.7999999999999998), np.float64(3.49857113690718), np.float64(5.4), np.float64(4.8373546489791295)]"
5,99.59183673469387,0.017030805405733443,"[np.float64(3.059411708155671), np.float64(5.4), np.float64(4.242640687119285), np.float64(6.997142273814361), np.float64(5.692099788303083), np.float64(5.366563145999495), np.float64(0.6000000000000001), np.float64(0.5999999999999996), np.float64(6.708203932499369), np.float64(3.059411708155671)]"
