run,accuracy,mde,wrong_errors
1,99.55102040816325,0.012513780381422899,"[np.float64(3.7947331922020555), np.float64(1.2000000000000002), np.float64(3.2310988842807027), np.float64(0.5999999999999996), np.float64(2.6832815729997477), np.float64(3.0), np.float64(4.024922359499622), np.float64(2.1633307652783933), np.float64(3.0), np.float64(5.1613951602255765), np.float64(1.7999999999999998)]"
2,99.51020408163266,0.016132414316839944,"[np.float64(3.0), np.float64(3.4985711369071804), np.float64(1.2), np.float64(3.5999999999999996), np.float64(6.37808748764079), np.float64(2.1633307652783933), np.float64(3.7947331922020555), np.float64(4.686149805543993), np.float64(2.1633307652783933), np.float64(1.3416407864998738), np.float64(3.49857113690718), np.float64(4.2)]"
3,99.51020408163266,0.01630273136570534,"[np.float64(3.7947331922020555), np.float64(2.1633307652783933), np.float64(4.947726750741193), np.float64(3.059411708155671), np.float64(2.6832815729997477), np.float64(1.8973665961010275), np.float64(5.366563145999495), np.float64(4.5694638635183455), np.float64(1.3416407864998738), np.float64(1.8973665961010278), np.float64(5.1613951602255765), np.float64(3.059411708155671)]"
4,99.63265306122449,0.01081734314327785,"[np.float64(0.6000000000000001), np.float64(3.2310988842807027), np.float64(3.49857113690718), np.float64(6.37808748764079), np.float64(0.6000000000000001), np.float64(3.7947331922020555), np.float64(2.4000000000000004), np.float64(3.0), np.float64(3.0)]"
5,99.67346938775509,0.0108776447191003,"[np.float64(3.7947331922020555), np.float64(3.0), np.float64(4.368065933568311), np.float64(2.1633307652783933), np.float64(3.49857113690718), np.float64(6.4621977685614045), np.float64(1.2000000000000002), np.float64(2.1633307652783933)]"
