run,epochs,total_time_sec,avg_epoch_time_sec
1,153,287.6806149482727,1.8802654571782529
2,146,277.9355571269989,1.9036681994999924
3,151,292.3309016227722,1.9359662359123988
4,126,241.41819763183594,1.9160174415225075
5,131,248.57517457008362,1.8975204165655237
