run,accuracy,mde,wrong_errors
1,99.67346938775509,0.010646140789989482,"[np.float64(2.4), np.float64(1.2000000000000002), np.float64(6.708203932499369), np.float64(0.6), np.float64(3.49857113690718), np.float64(4.368065933568311), np.float64(6.708203932499369), np.float64(0.6000000000000001)]"
2,99.59183673469387,0.01045207160953694,"[np.float64(4.326661530556787), np.float64(3.059411708155671), np.float64(0.8485281374238568), np.float64(2.6832815729997477), np.float64(1.2000000000000002), np.float64(3.49857113690718), np.float64(1.3416407864998738), np.float64(1.8000000000000003), np.float64(4.686149805543993), np.float64(2.1633307652783933)]"
3,99.67346938775509,0.010695821032454733,"[np.float64(3.2310988842807027), np.float64(1.2000000000000002), np.float64(5.909314681077663), np.float64(0.8485281374238568), np.float64(3.49857113690718), np.float64(3.6), np.float64(4.686149805543993), np.float64(3.2310988842807027)]"
4,99.67346938775509,0.011642242525415897,"[np.float64(0.6000000000000001), np.float64(6.177378084592201), np.float64(2.4), np.float64(1.7999999999999998), np.float64(3.49857113690718), np.float64(4.2), np.float64(4.686149805543993), np.float64(5.1613951602255765)]"
5,99.67346938775509,0.0075109096395045314,"[np.float64(3.2310988842807027), np.float64(1.2000000000000002), np.float64(2.473863375370596), np.float64(1.7999999999999998), np.float64(0.6000000000000001), np.float64(4.8373546489791295), np.float64(1.2000000000000002), np.float64(3.059411708155671)]"
