run,accuracy,mde,wrong_errors
1,99.71428571428571,0.00836971049315169,"[np.float64(0.6000000000000001), np.float64(4.947726750741193), np.float64(3.794733192202055), np.float64(0.6000000000000001), np.float64(2.4000000000000004), np.float64(6.0), np.float64(2.1633307652783933)]"
2,99.59183673469387,0.013055549190195451,"[np.float64(3.7947331922020555), np.float64(1.3416407864998738), np.float64(3.49857113690718), np.float64(5.531726674375733), np.float64(6.37808748764079), np.float64(0.6000000000000001), np.float64(3.7947331922020555), np.float64(1.3416407864998738), np.float64(2.4738633753705965), np.float64(3.2310988842807027)]"
3,99.67346938775509,0.009561436319331554,"[np.float64(1.3416407864998738), np.float64(3.0), np.float64(4.947726750741193), np.float64(2.1633307652783933), np.float64(6.37808748764079), np.float64(1.8973665961010275), np.float64(1.8000000000000003), np.float64(1.8973665961010275)]"
4,99.67346938775509,0.009373524446229728,"[np.float64(1.3416407864998738), np.float64(1.2000000000000002), np.float64(5.366563145999495), np.float64(0.6000000000000001), np.float64(3.7947331922020555), np.float64(6.4621977685614045), np.float64(2.4000000000000004), np.float64(1.7999999999999998)]"
5,99.59183673469387,0.011172297768136517,"[np.float64(3.49857113690718), np.float64(1.8), np.float64(0.5999999999999996), np.float64(4.947726750741193), np.float64(1.8973665961010275), np.float64(3.49857113690718), np.float64(5.366563145999495), np.float64(0.6000000000000001), np.float64(3.0), np.float64(2.1633307652783933)]"
