run,accuracy,mde,wrong_errors
1,99.55102040816325,0.013137888074013795,"[np.float64(1.3416407864998738), np.float64(3.0), np.float64(0.5999999999999996), np.float64(5.366563145999495), np.float64(1.8973665961010275), np.float64(3.49857113690718), np.float64(1.1999999999999997), np.float64(4.2), np.float64(5.1613951602255765), np.float64(1.8973665961010275), np.float64(4.024922359499621)]"
2,99.51020408163266,0.017691352602453657,"[np.float64(2.1633307652783933), np.float64(2.1633307652783933), np.float64(3.49857113690718), np.float64(0.5999999999999996), np.float64(0.5999999999999996), np.float64(6.37808748764079), np.float64(2.1633307652783933), np.float64(4.326661530556787), np.float64(5.1613951602255765), np.float64(4.024922359499621), np.float64(6.26418390534633), np.float64(6.0)]"
3,99.71428571428571,0.007053656324664162,"[np.float64(1.2000000000000002), np.float64(5.366563145999495), np.float64(1.2000000000000002), np.float64(1.3416407864998738), np.float64(0.8485281374238571), np.float64(5.1613951602255765), np.float64(2.1633307652783933)]"
4,99.51020408163266,0.01697463296689407,"[np.float64(3.7947331922020555), np.float64(1.8), np.float64(3.2310988842807027), np.float64(2.4), np.float64(4.242640687119285), np.float64(3.5999999999999996), np.float64(1.8), np.float64(3.0), np.float64(6.0), np.float64(5.1613951602255765), np.float64(3.059411708155671), np.float64(3.4985711369071804)]"
5,99.3061224489796,0.02345541278672316,"[np.float64(3.7947331922020555), np.float64(1.8), np.float64(3.49857113690718), np.float64(3.49857113690718), np.float64(4.947726750741193), np.float64(4.947726750741193), np.float64(3.5999999999999996), np.float64(1.8973665961010275), np.float64(0.5999999999999999), np.float64(3.7947331922020555), np.float64(1.3416407864998738), np.float64(3.794733192202055), np.float64(5.1613951602255765), np.float64(2.1633307652783933), np.float64(4.326661530556787), np.float64(3.49857113690718), np.float64(4.800000000000001)]"
