run,accuracy,mde,wrong_errors
1,99.67346938775509,0.008984176187650924,"[np.float64(2.4), np.float64(1.2000000000000002), np.float64(1.2000000000000002), np.float64(0.6000000000000001), np.float64(5.939696961966999), np.float64(6.708203932499369), np.float64(2.1633307652783933), np.float64(1.7999999999999998)]"
2,99.63265306122449,0.014221795825230874,"[np.float64(4.242640687119285), np.float64(1.2000000000000002), np.float64(4.326661530556787), np.float64(3.49857113690718), np.float64(4.8373546489791295), np.float64(3.49857113690718), np.float64(4.368065933568311), np.float64(6.708203932499369), np.float64(2.1633307652783933)]"
3,99.67346938775509,0.01425610148293819,"[np.float64(3.059411708155671), np.float64(7.636753236814714), np.float64(4.8373546489791295), np.float64(3.6), np.float64(3.49857113690718), np.float64(4.368065933568311), np.float64(6.029925372672534), np.float64(1.8973665961010275)]"
4,99.55102040816325,0.016475156188119594,"[np.float64(3.059411708155671), np.float64(3.6000000000000005), np.float64(5.909314681077663), np.float64(3.7947331922020555), np.float64(3.7947331922020555), np.float64(1.2000000000000002), np.float64(3.49857113690718), np.float64(4.368065933568311), np.float64(6.708203932499369), np.float64(3.2310988842807027), np.float64(1.2)]"
5,99.67346938775509,0.013327416679827621,"[np.float64(3.059411708155671), np.float64(7.323933369440222), np.float64(4.326661530556787), np.float64(3.394112549695428), np.float64(3.49857113690718), np.float64(4.2), np.float64(4.686149805543993), np.float64(2.1633307652783933)]"
