run,accuracy,mde,wrong_errors
1,99.55102040816325,0.016012667433831073,"[np.float64(3.0), np.float64(3.6000000000000005), np.float64(4.242640687119285), np.float64(5.366563145999495), np.float64(6.708203932499369), np.float64(0.6), np.float64(0.6000000000000001), np.float64(4.368065933568311), np.float64(4.686149805543993), np.float64(3.0), np.float64(3.059411708155671)]"
2,99.67346938775509,0.009852023423844955,"[np.float64(3.059411708155671), np.float64(1.2000000000000002), np.float64(3.059411708155671), np.float64(0.8485281374238568), np.float64(3.49857113690718), np.float64(3.6), np.float64(6.708203932499369), np.float64(2.1633307652783933)]"
3,99.59183673469387,0.009562933393013567,"[np.float64(0.6000000000000001), np.float64(1.2000000000000002), np.float64(1.2), np.float64(3.6), np.float64(3.49857113690718), np.float64(2.4000000000000004), np.float64(3.49857113690718), np.float64(0.8485281374238566), np.float64(4.686149805543993), np.float64(1.8973665961010275)]"
4,99.63265306122449,0.01305831998873356,"[np.float64(0.6000000000000001), np.float64(4.242640687119285), np.float64(5.692099788303083), np.float64(5.692099788303083), np.float64(0.8485281374238568), np.float64(3.49857113690718), np.float64(4.5694638635183455), np.float64(4.686149805543993), np.float64(2.1633307652783933)]"
5,99.59183673469387,0.011108080255018492,"[np.float64(3.059411708155671), np.float64(1.2000000000000002), np.float64(3.059411708155671), np.float64(3.8418745424597094), np.float64(0.8485281374238568), np.float64(0.6000000000000001), np.float64(3.0), np.float64(6.708203932499369), np.float64(1.8973665961010275), np.float64(3.0)]"
