run,accuracy,mde,wrong_errors
1,99.67346938775509,0.008597809953755206,"[np.float64(1.3416407864998738), np.float64(0.6000000000000001), np.float64(3.0), np.float64(4.024922359499622), np.float64(2.1633307652783933), np.float64(4.242640687119285), np.float64(3.794733192202055), np.float64(1.8973665961010275)]"
2,99.55102040816325,0.018014013553753806,"[np.float64(6.118823416311342), np.float64(3.2310988842807027), np.float64(5.531726674375733), np.float64(3.0), np.float64(3.0), np.float64(5.366563145999495), np.float64(2.1633307652783933), np.float64(2.4000000000000004), np.float64(5.1613951602255765), np.float64(3.0), np.float64(5.1613951602255765)]"
3,99.71428571428571,0.008092087337470452,"[np.float64(1.3416407864998738), np.float64(3.0), np.float64(1.8973665961010278), np.float64(3.2310988842807022), np.float64(5.1613951602255765), np.float64(3.394112549695428), np.float64(1.7999999999999998)]"
4,99.55102040816325,0.010629940224979215,"[np.float64(1.3416407864998738), np.float64(1.8), np.float64(1.8973665961010275), np.float64(2.545584412271571), np.float64(3.5999999999999996), np.float64(0.6000000000000001), np.float64(3.6), np.float64(5.1613951602255765), np.float64(1.7999999999999998), np.float64(1.8973665961010278), np.float64(1.7999999999999998)]"
5,99.34693877551021,0.018737618241165373,"[np.float64(1.3416407864998738), np.float64(3.0), np.float64(3.2310988842807022), np.float64(3.0), np.float64(3.5999999999999996), np.float64(1.2000000000000002), np.float64(6.4621977685614045), np.float64(2.4738633753705965), np.float64(0.8485281374238566), np.float64(1.3416407864998738), np.float64(3.6496575181789317), np.float64(3.49857113690718), np.float64(3.49857113690718), np.float64(1.8), np.float64(1.7999999999999998), np.float64(5.1613951602255765)]"
