run,accuracy,mde,wrong_errors
1,99.67346938775509,0.009690200068049193,"[np.float64(3.059411708155671), np.float64(1.2000000000000002), np.float64(3.059411708155671), np.float64(1.2000000000000002), np.float64(3.49857113690718), np.float64(2.4000000000000004), np.float64(6.26418390534633), np.float64(3.059411708155671)]"
2,99.67346938775509,0.012380007782965441,"[np.float64(3.059411708155671), np.float64(1.2000000000000002), np.float64(3.059411708155671), np.float64(3.6), np.float64(3.49857113690718), np.float64(4.368065933568311), np.float64(6.708203932499369), np.float64(4.8373546489791295)]"
3,99.67346938775509,0.011312447086362396,"[np.float64(2.4), np.float64(5.531726674375733), np.float64(3.2310988842807027), np.float64(0.8485281374238568), np.float64(3.49857113690718), np.float64(3.6), np.float64(6.708203932499369), np.float64(1.8973665961010275)]"
4,99.67346938775509,0.009951698958242244,"[np.float64(3.059411708155671), np.float64(1.2000000000000002), np.float64(1.2), np.float64(1.7999999999999998), np.float64(3.49857113690718), np.float64(4.368065933568311), np.float64(4.686149805543993), np.float64(4.5694638635183455)]"
5,99.63265306122449,0.013337987228646434,"[np.float64(2.4000000000000004), np.float64(1.3416407864998736), np.float64(4.242640687119285), np.float64(3.6496575181789317), np.float64(3.0), np.float64(3.49857113690718), np.float64(3.0), np.float64(6.708203932499369), np.float64(4.8373546489791295)]"
