run,accuracy,mde,wrong_errors
1,99.63265306122449,0.01095250702836093,"[np.float64(1.2), np.float64(1.2000000000000002), np.float64(5.531726674375733), np.float64(0.8485281374238568), np.float64(2.6832815729997477), np.float64(3.0), np.float64(3.49857113690718), np.float64(6.708203932499369), np.float64(2.1633307652783933)]"
2,99.71428571428571,0.009487401081880344,"[np.float64(6.0), np.float64(1.2000000000000002), np.float64(1.2), np.float64(3.6), np.float64(3.49857113690718), np.float64(4.686149805543993), np.float64(3.059411708155671)]"
3,99.71428571428571,0.012459798275579137,"[np.float64(3.059411708155671), np.float64(7.636753236814714), np.float64(1.2), np.float64(3.394112549695428), np.float64(4.686149805543993), np.float64(6.708203932499369), np.float64(3.8418745424597094)]"
4,99.71428571428571,0.010025412196226794,"[np.float64(0.6000000000000001), np.float64(6.708203932499369), np.float64(0.8485281374238568), np.float64(3.49857113690718), np.float64(5.1613951602255765), np.float64(4.686149805543993), np.float64(3.059411708155671)]"
5,99.59183673469387,0.012428763145258105,"[np.float64(1.2000000000000002), np.float64(1.2000000000000002), np.float64(6.708203932499369), np.float64(3.7947331922020555), np.float64(4.326661530556787), np.float64(4.8373546489791295), np.float64(0.6000000000000001), np.float64(4.686149805543993), np.float64(1.8973665961010275), np.float64(1.2)]"
