run,accuracy,mde,wrong_errors
1,98.93877551020408,0.016097759027485756,"[np.float64(3.7947331922020555), np.float64(1.3416407864998738), np.float64(0.6), np.float64(4.947726750741193), np.float64(1.8973665961010275), np.float64(0.6), np.float64(0.6), np.float64(5.366563145999495), np.float64(1.2000000000000002), np.float64(0.6), np.float64(0.5999999999999999), np.float64(0.6), np.float64(0.8485281374238571), np.float64(1.7999999999999998), np.float64(0.6), np.float64(0.8485281374238566), np.float64(0.6), np.float64(0.6), np.float64(1.8973665961010275), np.float64(0.6), np.float64(1.7999999999999998), np.float64(0.8485281374238566), np.float64(0.6), np.float64(4.800000000000001), np.float64(0.6), np.float64(0.8485281374238566)]"
2,99.75510204081633,0.008738126547481713,"[np.float64(3.0), np.float64(4.024922359499622), np.float64(2.1633307652783933), np.float64(1.8973665961010278), np.float64(5.1613951602255765), np.float64(5.1613951602255765)]"
3,99.59183673469387,0.008206234805134988,"[np.float64(0.6000000000000001), np.float64(0.5999999999999996), np.float64(1.8973665961010275), np.float64(5.366563145999495), np.float64(0.6000000000000001), np.float64(1.3416407864998738), np.float64(1.3416407864998738), np.float64(2.4000000000000004), np.float64(3.7947331922020555), np.float64(2.1633307652783933)]"
4,99.51020408163266,0.019213065876662046,"[np.float64(4.947726750741193), np.float64(6.26418390534633), np.float64(3.0), np.float64(5.531726674375733), np.float64(5.366563145999495), np.float64(1.2000000000000002), np.float64(2.4738633753705965), np.float64(2.4738633753705965), np.float64(2.4738633753705965), np.float64(5.1613951602255765), np.float64(3.2310988842807027), np.float64(4.947726750741193)]"
5,99.59183673469387,0.011382810837298293,"[np.float64(3.7947331922020555), np.float64(3.0), np.float64(3.2310988842807027), np.float64(6.37808748764079), np.float64(1.2), np.float64(1.3416407864998738), np.float64(4.8373546489791295), np.float64(0.6000000000000001), np.float64(1.3416407864998738), np.float64(2.1633307652783933)]"
