timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label,label_coor,coordinate
553296683,-59.0,-71.0,-56.0,-68.0,31.0,"(6.0, 0)",1-11
553294243,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553291219,-59.0,-71.0,-54.0,-59.0,31.0,"(6.0, 0)",1-11
553292323,-59.0,-71.0,-51.0,-64.0,31.0,"(6.0, 0)",1-11
553290690,-59.0,-71.0,-54.0,-56.0,31.0,"(6.0, 0)",1-11
553290577,-58.0,-71.0,-51.0,-64.0,31.0,"(6.0, 0)",1-11
553291384,-60.0,-71.0,-50.0,-64.0,31.0,"(6.0, 0)",1-11
553293020,-60.0,-71.0,-53.0,-60.0,31.0,"(6.0, 0)",1-11
553290791,-59.0,-71.0,,,31.0,"(6.0, 0)",1-11
553294824,-59.0,-71.0,-51.0,-66.0,31.0,"(6.0, 0)",1-11
553296546,-59.0,-71.0,-55.0,-63.0,31.0,"(6.0, 0)",1-11
553293644,-59.0,-71.0,-54.0,-58.0,31.0,"(6.0, 0)",1-11
553291813,-60.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553295921,-59.0,-71.0,-51.0,-67.0,31.0,"(6.0, 0)",1-11
553292810,-59.0,-71.0,-54.0,-63.0,31.0,"(6.0, 0)",1-11
553290381,-59.0,-71.0,-58.0,,31.0,"(6.0, 0)",1-11
553291038,-55.0,-71.0,-50.0,-56.0,31.0,"(6.0, 0)",1-11
553292203,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553295970,-59.0,-71.0,-54.0,-65.0,31.0,"(6.0, 0)",1-11
553294468,-59.0,-71.0,-53.0,-66.0,31.0,"(6.0, 0)",1-11
553290559,-60.0,-71.0,-52.0,-61.0,31.0,"(6.0, 0)",1-11
553296389,-59.0,-71.0,-55.0,-65.0,31.0,"(6.0, 0)",1-11
553295837,-59.0,-71.0,-55.0,-67.0,31.0,"(6.0, 0)",1-11
553295038,-59.0,-71.0,-52.0,-67.0,31.0,"(6.0, 0)",1-11
553290328,-59.0,-71.0,-62.0,,31.0,"(6.0, 0)",1-11
553290594,-54.0,-71.0,-52.0,-60.0,31.0,"(6.0, 0)",1-11
553293659,-60.0,-71.0,-52.0,-63.0,31.0,"(6.0, 0)",1-11
553291273,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553293460,-59.0,-71.0,-53.0,-63.0,31.0,"(6.0, 0)",1-11
553294482,-60.0,-71.0,-53.0,-65.0,31.0,"(6.0, 0)",1-11
553291328,-60.0,-71.0,-50.0,-58.0,31.0,"(6.0, 0)",1-11
553295955,-59.0,-71.0,-50.0,-67.0,31.0,"(6.0, 0)",1-11
553296498,-59.0,-71.0,-54.0,-58.0,31.0,"(6.0, 0)",1-11
553296594,-59.0,-71.0,-53.0,-65.0,31.0,"(6.0, 0)",1-11
553292461,-59.0,-71.0,-52.0,-55.0,31.0,"(6.0, 0)",1-11
553293427,-59.0,-71.0,-54.0,-65.0,31.0,"(6.0, 0)",1-11
553294276,-59.0,-71.0,-54.0,-58.0,31.0,"(6.0, 0)",1-11
553290721,-54.0,-71.0,-53.0,-63.0,31.0,"(6.0, 0)",1-11
553290435,-60.0,-72.0,-50.0,,31.0,"(6.0, 0)",1-11
553296218,-59.0,-71.0,-54.0,-65.0,31.0,"(6.0, 0)",1-11
553296235,-60.0,-71.0,-54.0,-65.0,31.0,"(6.0, 0)",1-11
553292073,-59.0,-71.0,-50.0,-58.0,31.0,"(6.0, 0)",1-11
553291955,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553293492,-60.0,-71.0,-54.0,-63.0,31.0,"(6.0, 0)",1-11
553290775,-59.0,-71.0,-54.0,-58.0,31.0,"(6.0, 0)",1-11
553292541,-59.0,-71.0,-52.0,-64.0,31.0,"(6.0, 0)",1-11
553296436,-59.0,-71.0,,,31.0,"(6.0, 0)",1-11
553292235,-59.0,-71.0,-52.0,-63.0,31.0,"(6.0, 0)",1-11
553295704,-53.0,-71.0,-54.0,-59.0,31.0,"(6.0, 0)",1-11
553292168,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553294090,-60.0,-71.0,-53.0,-66.0,31.0,"(6.0, 0)",1-11
553291538,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553292443,-59.0,-71.0,-54.0,-58.0,31.0,"(6.0, 0)",1-11
553296035,-59.0,-71.0,-51.0,-66.0,31.0,"(6.0, 0)",1-11
553295180,-59.0,-71.0,-55.0,-64.0,31.0,"(6.0, 0)",1-11
553293413,-60.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553294790,-59.0,-71.0,-52.0,-64.0,31.0,"(6.0, 0)",1-11
553296155,-59.0,-71.0,-54.0,-65.0,31.0,"(6.0, 0)",1-11
553296186,-59.0,-71.0,-54.0,-63.0,31.0,"(6.0, 0)",1-11
553293567,-59.0,-71.0,-52.0,-63.0,31.0,"(6.0, 0)",1-11
553292703,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553293098,-60.0,-71.0,-49.0,-58.0,31.0,"(6.0, 0)",1-11
553292090,-59.0,-71.0,-52.0,-62.0,31.0,"(6.0, 0)",1-11
553293130,-60.0,-71.0,-51.0,-64.0,31.0,"(6.0, 0)",1-11
553295478,-59.0,-71.0,-51.0,-66.0,31.0,"(6.0, 0)",1-11
553292779,-52.0,-71.0,-54.0,-62.0,31.0,"(6.0, 0)",1-11
553296077,-59.0,-71.0,-52.0,-65.0,31.0,"(6.0, 0)",1-11
553291670,-59.0,-71.0,-49.0,-65.0,31.0,"(6.0, 0)",1-11
553293081,-60.0,-71.0,-52.0,-64.0,31.0,"(6.0, 0)",1-11
553293160,-59.0,-71.0,-52.0,-64.0,31.0,"(6.0, 0)",1-11
553291524,-59.0,-71.0,-50.0,-59.0,31.0,"(6.0, 0)",1-11
553293442,-60.0,-71.0,-54.0,-59.0,31.0,"(6.0, 0)",1-11
553292253,-59.0,-71.0,-52.0,-63.0,31.0,"(6.0, 0)",1-11
553295654,-59.0,-71.0,-50.0,-67.0,31.0,"(6.0, 0)",1-11
553293203,-60.0,-71.0,-54.0,-59.0,31.0,"(6.0, 0)",1-11
553294194,-60.0,-71.0,-55.0,-58.0,31.0,"(6.0, 0)",1-11
553292840,-55.0,-71.0,-54.0,-63.0,31.0,"(6.0, 0)",1-11
553293221,-60.0,-71.0,-54.0,-62.0,31.0,"(6.0, 0)",1-11
553296126,-59.0,-71.0,-54.0,-59.0,31.0,"(6.0, 0)",1-11
553295386,-59.0,-71.0,-54.0,-67.0,31.0,"(6.0, 0)",1-11
553290874,-59.0,-71.0,-52.0,-63.0,31.0,"(6.0, 0)",1-11
553292556,,-71.0,,,31.0,"(6.0, 0)",1-11
553295148,-59.0,-71.0,-51.0,-63.0,31.0,"(6.0, 0)",1-11
553295577,-59.0,-71.0,-54.0,-63.0,31.0,"(6.0, 0)",1-11
553295512,-59.0,-71.0,-55.0,-58.0,31.0,"(6.0, 0)",1-11
553295103,-59.0,-71.0,-51.0,-67.0,31.0,"(6.0, 0)",1-11
553291254,-59.0,-71.0,-52.0,-60.0,31.0,"(6.0, 0)",1-11
553292126,-59.0,-71.0,-50.0,-60.0,31.0,"(6.0, 0)",1-11
553293553,-60.0,-71.0,-50.0,-62.0,31.0,"(6.0, 0)",1-11
553293398,-59.0,-71.0,-54.0,-66.0,31.0,"(6.0, 0)",1-11
553290408,-58.0,-72.0,-59.0,,31.0,"(6.0, 0)",1-11
553295089,-59.0,-71.0,-53.0,-61.0,31.0,"(6.0, 0)",1-11
553294859,-59.0,-71.0,-51.0,-64.0,31.0,"(6.0, 0)",1-11
553292858,-59.0,-71.0,-50.0,-64.0,31.0,"(6.0, 0)",1-11
553292731,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553290471,-59.0,-71.0,-51.0,,31.0,"(6.0, 0)",1-11
553295595,-59.0,-71.0,-53.0,-65.0,31.0,"(6.0, 0)",1-11
553291990,-59.0,-71.0,-54.0,-62.0,31.0,"(6.0, 0)",1-11
553291636,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553295020,-59.0,-71.0,-54.0,-67.0,31.0,"(6.0, 0)",1-11
553296451,-59.0,-71.0,-55.0,-65.0,31.0,"(6.0, 0)",1-11
553293003,-60.0,-70.0,-52.0,-60.0,31.0,"(6.0, 0)",1-11
553296466,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553293927,-59.0,-71.0,-52.0,-67.0,31.0,"(6.0, 0)",1-11
553296420,-59.0,-71.0,-54.0,-65.0,31.0,"(6.0, 0)",1-11
553293943,-59.0,-71.0,-53.0,-62.0,31.0,"(6.0, 0)",1-11
553295722,-59.0,-71.0,-55.0,-62.0,31.0,"(6.0, 0)",1-11
553291746,-59.0,-71.0,-52.0,-63.0,31.0,"(6.0, 0)",1-11
553293690,-55.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553292941,-60.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553292689,-59.0,-71.0,-51.0,-59.0,31.0,"(6.0, 0)",1-11
553296435,,,-54.0,-62.0,31.0,"(6.0, 0)",1-11
553291798,-59.0,-71.0,-50.0,-62.0,31.0,"(6.0, 0)",1-11
553291436,-59.0,-71.0,-54.0,-64.0,31.0,"(6.0, 0)",1-11
553293803,-55.0,-71.0,-53.0,-65.0,31.0,"(6.0, 0)",1-11
553292305,-60.0,-71.0,-54.0,-60.0,31.0,"(6.0, 0)",1-11
553291867,-59.0,-71.0,-50.0,-64.0,31.0,"(6.0, 0)",1-11
553292618,-59.0,-71.0,-54.0,-60.0,31.0,"(6.0, 0)",1-11
553295337,,,-52.0,-62.0,31.0,"(6.0, 0)",1-11
