timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label_numeric,label_coor,coordinate
604735652,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604733883,-62.0,-72.0,-64.0,-42.0,1-1,"(0, 0)","(0, 0)"
604735062,,-72.0,,,1-1,"(0, 0)","(0, 0)"
604729477,-62.0,-72.0,-65.0,-48.0,1-1,"(0, 0)","(0, 0)"
604735596,-62.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604734424,-62.0,-72.0,-60.0,-48.0,1-1,"(0, 0)","(0, 0)"
604729532,-61.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604735582,-57.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604733686,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730033,-62.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604732185,-62.0,-72.0,-60.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732820,-57.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604733672,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730703,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731445,-61.0,-72.0,-62.0,-48.0,1-1,"(0, 0)","(0, 0)"
604734891,,-72.0,,,1-1,"(0, 0)","(0, 0)"
604729615,-62.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734611,-57.0,-72.0,-64.0,-42.0,1-1,"(0, 0)","(0, 0)"
604733770,-62.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731216,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729837,-62.0,-73.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732720,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604734626,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604733306,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604732157,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732115,-62.0,-72.0,-64.0,-43.0,1-1,"(0, 0)","(0, 0)"
604735215,-57.0,-72.0,-62.0,-42.0,1-1,"(0, 0)","(0, 0)"
604733583,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729573,-62.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604733615,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729892,-62.0,-72.0,-64.0,-46.0,1-1,"(0, 0)","(0, 0)"
604730893,-62.0,-72.0,-60.0,-45.0,1-1,"(0, 0)","(0, 0)"
604735047,-62.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604731019,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604731787,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731417,-62.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604730047,-61.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732921,-62.0,-72.0,-62.0,-41.0,1-1,"(0, 0)","(0, 0)"
604730991,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734821,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729601,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729505,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604730171,-61.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604735667,-62.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604730452,-62.0,-72.0,-62.0,-45.0,1-1,"(0, 0)","(0, 0)"
604729682,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730425,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604735145,-62.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732519,-62.0,-72.0,-64.0,-48.0,1-1,"(0, 0)","(0, 0)"
604732706,-57.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604733897,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604731103,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604730565,-62.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734947,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734793,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734527,,,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
604731716,-62.0,-72.0,-64.0,-43.0,1-1,"(0, 0)","(0, 0)"
604735483,-62.0,-73.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604732044,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604735061,-62.0,,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604733855,-62.0,-72.0,-62.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729325,,-71.0,-66.0,-48.0,1-1,"(0, 0)","(0, 0)"
604730879,-62.0,-72.0,-63.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729877,-62.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604729491,-53.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604735369,-54.0,-72.0,-64.0,-47.0,1-1,"(0, 0)","(0, 0)"
604734025,-62.0,-72.0,-60.0,-48.0,1-1,"(0, 0)","(0, 0)"
604729271,,-73.0,-63.0,-44.0,1-1,"(0, 0)","(0, 0)"
604734569,-62.0,-72.0,-64.0,-45.0,1-1,"(0, 0)","(0, 0)"
