timeStemp,AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,label,label_coor,coordinate
493453295,-60.0,-68.0,-61.0,-59.0,31.0,"(6.0, 0)",1-11
493449532,-62.0,-70.0,-59.0,-59.0,31.0,"(6.0, 0)",1-11
493453815,-61.0,-69.0,-62.0,-55.0,31.0,"(6.0, 0)",1-11
493452063,-62.0,-69.0,-63.0,-55.0,31.0,"(6.0, 0)",1-11
493451194,-61.0,-70.0,-62.0,-55.0,31.0,"(6.0, 0)",1-11
493451796,-62.0,-69.0,-63.0,-60.0,31.0,"(6.0, 0)",1-11
493451403,-61.0,-70.0,-62.0,-61.0,31.0,"(6.0, 0)",1-11
493450420,-53.0,-70.0,-62.0,-59.0,31.0,"(6.0, 0)",1-11
493454696,-62.0,-70.0,-61.0,-59.0,31.0,"(6.0, 0)",1-11
493449405,-61.0,-70.0,-63.0,-59.0,31.0,"(6.0, 0)",1-11
493449996,-60.0,-70.0,-62.0,-59.0,31.0,"(6.0, 0)",1-11
493451361,,,-61.0,-61.0,31.0,"(6.0, 0)",1-11
493450977,-61.0,-70.0,-64.0,-61.0,31.0,"(6.0, 0)",1-11
493454020,-61.0,-70.0,-62.0,-60.0,31.0,"(6.0, 0)",1-11
493454383,-61.0,-70.0,-62.0,-61.0,31.0,"(6.0, 0)",1-11
493449761,-61.0,-70.0,-62.0,-59.0,31.0,"(6.0, 0)",1-11
493454208,-62.0,-70.0,-61.0,-55.0,31.0,"(6.0, 0)",1-11
493453048,-61.0,-70.0,-60.0,-60.0,31.0,"(6.0, 0)",1-11
493455118,,-70.0,,,31.0,"(6.0, 0)",1-11
493450143,-52.0,-70.0,-63.0,-59.0,31.0,"(6.0, 0)",1-11
493450070,-61.0,-70.0,-62.0,-59.0,31.0,"(6.0, 0)",1-11
493450868,-61.0,-70.0,-64.0,-60.0,31.0,"(6.0, 0)",1-11
493452194,-61.0,-69.0,-62.0,-59.0,31.0,"(6.0, 0)",1-11
493450653,-61.0,-70.0,-63.0,-60.0,31.0,"(6.0, 0)",1-11
493452092,-62.0,-69.0,-64.0,-61.0,31.0,"(6.0, 0)",1-11
493454398,-62.0,-69.0,-62.0,-58.0,31.0,"(6.0, 0)",1-11
493450099,-61.0,-70.0,-62.0,-59.0,31.0,"(6.0, 0)",1-11
493455321,-62.0,-70.0,-62.0,-56.0,31.0,"(6.0, 0)",1-11
493449121,-61.0,-70.0,-64.0,-60.0,31.0,"(6.0, 0)",1-11
493452874,-61.0,-70.0,-61.0,-60.0,31.0,"(6.0, 0)",1-11
493454426,-61.0,-69.0,-62.0,-60.0,31.0,"(6.0, 0)",1-11
493452482,-61.0,-69.0,-61.0,-59.0,31.0,"(6.0, 0)",1-11
493454974,-61.0,-70.0,-62.0,-61.0,31.0,"(6.0, 0)",1-11
493450595,-61.0,-70.0,-60.0,-60.0,31.0,"(6.0, 0)",1-11
493455378,-61.0,-68.0,-61.0,-59.0,31.0,"(6.0, 0)",1-11
493450056,-61.0,-70.0,-59.0,-57.0,31.0,"(6.0, 0)",1-11
493452962,-61.0,-69.0,-62.0,-62.0,31.0,"(6.0, 0)",1-11
493453540,-61.0,-69.0,-60.0,-61.0,31.0,"(6.0, 0)",1-11
493450751,-61.0,-70.0,-63.0,-61.0,31.0,"(6.0, 0)",1-11
493450084,-61.0,-70.0,-62.0,-60.0,31.0,"(6.0, 0)",1-11
493453077,-61.0,-69.0,-60.0,-55.0,31.0,"(6.0, 0)",1-11
493450260,-61.0,-70.0,-63.0,-60.0,31.0,"(6.0, 0)",1-11
493451592,-61.0,-70.0,-65.0,-59.0,31.0,"(6.0, 0)",1-11
493450012,-61.0,-70.0,-62.0,-54.0,31.0,"(6.0, 0)",1-11
493451166,-61.0,-70.0,-64.0,-61.0,31.0,"(6.0, 0)",1-11
493450041,-60.0,-70.0,-62.0,-59.0,31.0,"(6.0, 0)",1-11
