run,accuracy,mde,wrong_errors
1,99.22448979591837,0.025931431667539123,"[np.float64(1.3416407864998738), np.float64(3.4985711369071804), np.float64(0.8485281374238566), np.float64(1.2000000000000002), np.float64(0.5999999999999996), np.float64(1.2000000000000002), np.float64(4.947726750741193), np.float64(0.8485281374238566), np.float64(6.029925372672534), np.float64(4.947726750741193), np.float64(2.4000000000000004), np.float64(6.029925372672534), np.float64(6.0), np.float64(4.947726750741193), np.float64(4.947726750741193), np.float64(3.0), np.float64(0.8485281374238566), np.float64(4.947726750741193), np.float64(4.947726750741193)]"
2,99.67346938775509,0.011610029926547989,"[np.float64(2.6832815729997477), np.float64(6.841052550594828), np.float64(5.531726674375733), np.float64(1.8973665961010275), np.float64(1.2), np.float64(4.686149805543993), np.float64(3.059411708155671), np.float64(2.545584412271571)]"
3,99.71428571428571,0.007637929169032444,"[np.float64(1.3416407864998738), np.float64(3.0), np.float64(3.794733192202055), np.float64(1.2), np.float64(4.686149805543993), np.float64(3.8418745424597094), np.float64(0.8485281374238566)]"
4,99.67346938775509,0.011158899108889826,"[np.float64(1.3416407864998738), np.float64(3.0), np.float64(5.366563145999495), np.float64(0.6000000000000001), np.float64(3.0), np.float64(3.2310988842807027), np.float64(6.0), np.float64(4.800000000000001)]"
5,99.71428571428571,0.010510607863113327,"[np.float64(5.692099788303083), np.float64(1.3416407864998738), np.float64(6.0), np.float64(3.5999999999999996), np.float64(1.2000000000000002), np.float64(4.686149805543993), np.float64(3.2310988842807027)]"
