run,accuracy,mde,wrong_errors
1,99.67346938775509,0.01100174539689158,"[np.float64(3.2310988842807027), np.float64(1.2000000000000002), np.float64(3.6496575181789317), np.float64(5.366563145999495), np.float64(0.6000000000000001), np.float64(5.1613951602255765), np.float64(4.686149805543993), np.float64(3.059411708155671)]"
2,99.71428571428571,0.007974304905795421,"[np.float64(4.686149805543993), np.float64(1.2000000000000002), np.float64(2.6832815729997477), np.float64(0.6000000000000001), np.float64(0.6000000000000001), np.float64(6.708203932499369), np.float64(3.059411708155671)]"
3,99.67346938775509,0.013047009934233265,"[np.float64(3.059411708155671), np.float64(1.2000000000000002), np.float64(6.4621977685614045), np.float64(6.177378084592201), np.float64(3.49857113690718), np.float64(1.8000000000000003), np.float64(6.708203932499369), np.float64(3.059411708155671)]"
4,99.67346938775509,0.01031642103464798,"[np.float64(3.2310988842807027), np.float64(1.2000000000000002), np.float64(1.2), np.float64(4.800000000000001), np.float64(3.49857113690718), np.float64(3.6), np.float64(4.686149805543993), np.float64(3.059411708155671)]"
5,99.67346938775509,0.011170158504669608,"[np.float64(4.242640687119285), np.float64(1.2000000000000002), np.float64(6.708203932499369), np.float64(5.366563145999495), np.float64(0.6000000000000001), np.float64(2.4000000000000004), np.float64(4.686149805543993), np.float64(2.1633307652783933)]"
