run,epochs,total_time_sec,avg_epoch_time_sec
1,120,224.45202088356018,1.8704335073630014
2,149,277.54674196243286,1.8627298118284084
3,96,182.4669439792633,1.900697333117326
4,195,374.49077558517456,1.920465515821408
5,88,165.52353954315186,1.880949312990362
