alpha,avg_epochs,std_epochs,avg_time_sec,std_time_sec,avg_epoch_time_sec,std_epoch_time_sec
0.1,83.4,16.596385148579795,93.85461483001708,18.317909459752695,1.1262754724052981,0.025675241041444998
0.2,86.0,33.952908564657605,96.81917552947998,37.60890366674775,1.1289958130168187,0.02195457468497123
0.30000000000000004,92.8,19.30181338631166,105.78365783691406,21.370050339226545,1.141465725823178,0.009426652578965638
0.4,96.0,12.37739875741264,108.80663385391236,14.247094431878143,1.132970160043254,0.009087016696080629
0.5,104.6,26.043041297052845,118.27670588493348,29.863045909430344,1.1300489407908945,0.009977259317171853
0.6,119.6,22.73851358378555,134.985533618927,25.250692992831326,1.1294040014995907,0.005447118054352131
0.7000000000000001,110.4,19.683495624507348,123.63582801818848,22.242590133628557,1.1195527692436156,0.004413742400922012
0.8,118.6,30.70244289954791,133.3527927875519,33.77032659865497,1.1257583510958153,0.007239249532910752
0.9,110.4,26.446927987953533,122.3644323348999,30.843764539000805,1.1049280253216076,0.025831543190560073
1.0,131.8,25.52959067435277,148.50508604049682,28.46236260769427,1.1275811398305942,0.016947981579261334
