alpha,avg_acc,std_acc,avg_mde,std_mde
0.1,99.6234096692112,0.02493119331077777,0.01464825794297139,0.001330332164396265
0.2,99.65394402035624,0.038083026837393126,0.01278326084348394,0.003432946640278015
0.30000000000000004,99.6234096692112,0.02493119331077777,0.015499257111130515,0.0036074885036560434
0.4,99.6030534351145,0.049862386621538135,0.01451935987512622,0.0011348084585370182
0.5,99.6030534351145,0.049862386621538135,0.013706296896958564,0.001349570567985228
0.6,99.6234096692112,0.05189841744114685,0.015409173527895517,0.001881434014603717
0.7000000000000001,99.6234096692112,0.024931193310777772,0.014485380190130981,0.0025936934987418475
0.8,99.56234096692111,0.061068702290072004,0.018716041186974723,0.0029138510503041925
0.9,99.52162849872774,0.16600006544835064,0.016521667709197267,0.004364707755470702
1.0,99.53180661577608,0.0593481108890081,0.016826199634317317,0.0017061125778177675
