run,accuracy,mde,wrong_errors
1,99.71428571428571,0.010341954871172348,"[np.float64(6.26418390534633), np.float64(1.2000000000000002), np.float64(1.2), np.float64(1.8973665961010273), np.float64(3.49857113690718), np.float64(6.708203932499369), np.float64(4.5694638635183455)]"
2,99.71428571428571,0.009473092230482778,"[np.float64(2.4000000000000004), np.float64(1.2000000000000002), np.float64(3.2310988842807027), np.float64(6.029925372672534), np.float64(3.49857113690718), np.float64(4.686149805543993), np.float64(2.1633307652783933)]"
3,99.67346938775509,0.012136773376046631,"[np.float64(3.059411708155671), np.float64(1.2000000000000002), np.float64(5.909314681077663), np.float64(3.6), np.float64(3.059411708155671), np.float64(5.1613951602255765), np.float64(4.686149805543993), np.float64(3.059411708155671)]"
4,99.67346938775509,0.010246830577246022,"[np.float64(0.5999999999999996), np.float64(1.2000000000000002), np.float64(1.2), np.float64(5.366563145999495), np.float64(3.49857113690718), np.float64(4.368065933568311), np.float64(6.708203932499369), np.float64(2.1633307652783933)]"
5,99.67346938775509,0.011924737605102742,"[np.float64(3.059411708155671), np.float64(7.636753236814714), np.float64(2.4), np.float64(1.2000000000000002), np.float64(3.49857113690718), np.float64(4.8373546489791295), np.float64(4.686149805543993), np.float64(1.8973665961010275)]"
