run,accuracy,mde,wrong_errors
1,99.75510204081633,0.007473165888634658,"[np.float64(3.0), np.float64(3.0), np.float64(5.366563145999495), np.float64(1.2000000000000002), np.float64(2.6832815729997477), np.float64(3.059411708155671)]"
2,99.75510204081633,0.008447592441461729,"[np.float64(3.4985711369071804), np.float64(5.366563145999495), np.float64(1.8), np.float64(1.8), np.float64(4.8373546489791295), np.float64(3.394112549695428)]"
3,99.63265306122449,0.010642131832188751,"[np.float64(3.49857113690718), np.float64(1.3416407864998738), np.float64(0.6000000000000001), np.float64(5.531726674375733), np.float64(1.8973665961010275), np.float64(5.366563145999495), np.float64(0.6000000000000001), np.float64(2.4000000000000004), np.float64(4.8373546489791295)]"
4,99.63265306122449,0.010810739699250579,"[np.float64(3.49857113690718), np.float64(0.6000000000000001), np.float64(4.800000000000001), np.float64(5.531726674375733), np.float64(3.49857113690718), np.float64(0.6000000000000001), np.float64(2.4000000000000004), np.float64(2.1633307652783933), np.float64(3.394112549695428)]"
5,99.59183673469387,0.010256132616265764,"[np.float64(1.3416407864998738), np.float64(1.8), np.float64(3.49857113690718), np.float64(6.37808748764079), np.float64(0.6000000000000001), np.float64(0.5999999999999999), np.float64(1.8973665961010278), np.float64(6.0), np.float64(2.1633307652783933), np.float64(0.8485281374238566)]"
