run,epochs,total_time_sec,avg_epoch_time_sec
1,66,76.40372323989868,1.1576321703014951
2,94,106.34807658195496,1.131362516829308
3,83,94.77247166633606,1.1418370080281453
4,96,109.79784512519836,1.1437275533874829
5,125,141.59617257118225,1.132769380569458
